rating,review_text,review_len,churn_risk
5,amazing.,8,0
5,good,4,0
3,"prasidėjo mokesčiai už international persiuntimus. jei užsisakote nors ir minimalų planą, jo atšaukimas ~20 eur. buvo neblogas bankas, tačiau pradėjo kristi.",157,0
5,sofar it's been amazing,23,0
5,it has a lot of options for saving even something called pocked change where it moves small money from your account and holds in in something called pocked where you can take at anytime. for me i forgot about this and lost my job and finding this was amazing help.. also there is a lot more,290,0
4,like it. just need to work on your speed where outgoing and ingoing transactions are concerned. other than that. all good here,126,0
4,really good,11,0
4,i have been recommending revolut to friends and family because of good exchange rates and fees compared to banks and the convenience especially when you travel to other countries. you no longer worry about buying the currency before you leave.,243,0
1,un año sin ser aceptado para cuenta bancaria,44,1
5,i seize the moment when needed!,31,0
1,i thought i signed up for a fee free account then was told differently ?,72,1
5,revolut is the best 👌,21,0
5,works well,10,0
5,legit👍,6,0
5,pretty flawless so far.,23,0
5,best banking experience i ever had.,35,0
5,best online banking application i have ever used,48,0
5,using it for over 5 years now. best bank ever!,46,0
5,very good app,13,0
3,"easy to use, verification and confirmation are in a good way",60,0
5,this app has been very good for traveling.,42,0
5,i'm not too savvy when it comes to it but revolut seems easy to navigate,72,0
5,"really convenient. splitting the bill, sending money to anyone around the globe effortlessly. but be careful with the commission fees on the weekends!",150,0
5,superb,6,0
5,good,4,0
1,the worest experience of my life,32,1
1,wondering why my top to my account is not going through,55,1
4,providing facilities to sri lanka stoped.. please provide it again...,69,0
5,using it all time to transfer money when in europe,50,0
5,great app 💯,11,0
5,the best banking methods by far.,32,0
5,so far so good,14,0
5,great,5,0
5,excellent,9,0
5,great app,9,0
5,the app works very well.,24,0
5,"gran app, muy fácil de usar",27,0
5,subrb,5,0
5,very easy and is very useful!,29,0
1,it is arriving and arriving every time when i search something. i never search this revolut but it's popping up. zero stars!,124,1
4,new user interface is really hard to use compared to the old one. [edit] app started crashing and became unusable!,114,0
5,brilliant and convenient,24,0
5,all is good,11,0
5,excellent,9,0
1,"continuing glitches, error on error, useless",44,1
1,"good for small amount shopping. when you try transfers however, their interface is confusing and our money may not reach the intended recipients. not yet to a decent level of service!",183,1
5,"easy and straightforward, love the loose change saving feature and makes sending and getting payments a dream.",110,0
5,i am using revolut for all my transactions. it is very good,59,0
5,best banking app,16,0
5,made my life easy,17,0
5,the best,8,0
